name,id
I,77619
I Declare War,99163
I Shalt Become,2808
I.N.C.,1934
Icarus Witch,32434
Iced Earth,4
Idle Hands,3540443095
Ignitor,21597
Ignivomous,88584
Ihsahn,60496
Ildjarn,382
Illdisposed,1222
Illidiance,46031
Imagika,253
Immolation,194
Immolith,3540273203
Immortal,75
Impaled,1097
Impaled Nazarene,344
Impellitteri,320
Impending Doom,56136
Imperia,24907
Imperial Crystalline Entombment,13296
Imperium Dekadenz,36355
Impetigo,15075
Impiety,3583
In Flames,11
In Mourning,38764
In Solitude,18364
In the Woods...,392
Incantation,885
Incriminated,6125
Incubus,32322
Infant Annihilator,3540458000
Inferi,93823
Infernal,7006
Infernal War,14386
Infernäl Mäjesty,1238
Ingested,53619
Iniquity,211
Inquisition,6665
Insania,3103
Insect Warfare,67329
Insision,161
Insomnium,2332
Instinct,63472
Integrity,3540386323
Interment,12478
Internal Bleeding,1117
Internal Suffering,2304
Intestinal Disgorge,3500
Intestine Baalism,5810
Into Eternity,613
Intronaut,36723
Intruder,1491
Invocator,4533
Iommi,4915
Iperyt,35470
Iron Angel,906
Iron Fire,761
Iron Griffin,3540434338
Iron Maiden,25
Iron Man,4900
Iron Mask,7566
Iron Reagan,3540363260
Iron Savior,329
Isengard,1027
Isis,4844
Isole,33467
