name,id
...and Oceans,231
A Forest of Stars,115504
A Life Once Lost,1897
A Sound of Thunder,3540304959
ADX,524
Aarni,1557
Abazagorath,1290
Abhorrence,688
Abigail,1282
Abigail Williams,73633
Abigor,1066
Abnormality,101081
Abominable Putridity,43778
Aborted,213
Aborym,1150
Abruptum,1127
Abscess,878
Absu,41
Absurd,383
Abysmal Dawn,27821
Abyssal,3540341441
Abyssic Hate,1054
Accept,198
Accu§er,1323
Acheron,123
Acherontas,112532
Acid Bath,19
Acid Drinkers,4682
Acid Witch,3540265808
Acrania,3540359582
Acrostichon,871
Ad Hominem,11304
Adagio,754
Adrenaline Mob,3540331861
Aenaon,3540291245
Aeon,327
Aeternus,922
After Forever,526
After the Burial,101594
Agalloch,305
Agathocles,2649
Agathodaimon,412
Agatus,935
Agent Steel,529
Ahab,35791
Aion,37917
Ajattara,2052
Akercocke,2707
Akitsa,2224
AlNamrood,3540256815
Alabama Thunderpussy,4647
Alcatrazz,533
Alcest,19701
Alchemist,42
Alestorm,116989
Alice in Chains,753
All Shall Perish,5058
All That Remains,1283
Allegaeon,3540261016
Allegiance,1408
Allen - Lande,47043
Altar of Plagues,85064
Amaka Hahina,3979
Amberian Dawn,102093
Amebix,13111
Amesoeurs,46747
Amon Amarth,150
Amoral,4142
Amorphis,1
An Autumn for Crippled Children,3540302963
Anaal Nathrakh,1314
Anacrusis,82
Anata,2975
Anathema,503
Anatomia,49197
Ancient,772
Ancient Rites,28
Andromeda,27
Angantyr,3987
Angel Dust,215
Angel Witch,537
Angelcorpse,897
Angra,538
Animetal,15803
Animosity,7401
Animus,45057
Annihilator,140
Annotations of an Autopsy,88830
Anorexia Nervosa,2171
Antaeus,2170
Antediluvian,95917
Antestor,3048
Anthem,540
Anthrax,169
Antigama,4478
Antiquus Scriptum,46740
Anubis Gate,14633
Anvil,542
Aosoth,10098
Apocalypse,19770
Apocalyptica,1752
Arch Enemy,10
Archgoat,4357
Archspire,3540326229
Arckanum,2712
Arcturus,292
Ares Kingdom,10670
Arghoslent,3195
Arkhon Infaustus,855
Armagedda,3994
Armored Saint,280
Armoured Angel,597
Arrayan Path,13244
Arsis,5819
Artillery,249
As Blood Runs Black,69259
As I Lay Dying,20825
Ash Borer,3540301081
Asphyx,641
Assassin,642
Assaulter,38316
Assück,21631
Astarte,2233
Astral Doors,14537
Astrofaes,4731
Astrum,60615
Asunder,21501
At Vance,1545
At War,648
At the Gates,43
Atheist,304
Atlantean Kodex,75285
Atrocity,646
Atrophy,647
Attacker,645
Augury,27517
Aura Noir,209
Auroch,3540263421
Aurora Borealis,420
Aurvandil,91840
Austere,99183
Austrian Death Machine,3540258437
Autopsy,285
Avantasia,331
Averse Sefira,1126
Avsky,68966
Avulsed,982
Axel Rudi Pell,1746
Axis of Advance,2172
Axxis,1081
Ayreon,1427
Azaghal,2342
Azarath,7171
Azrael,13835
Aäkon Këëtrëh,14415
The Absence,31676
The Agonist,102219
The Amenta,8115
The Axis of Perdition,7836
Ásmegin,3201
